word|entry_id|source
シーディープレイヤー|1000110|jmdict-eng-common
シーディープレーヤー|1000110|jmdict-eng-common
ＣＤプレイヤー|1000110|jmdict-eng-common
ＣＤプレーヤー|1000110|jmdict-eng-common
ティーシャツ|1000160|jmdict-eng-common
Ｔシャツ|1000160|jmdict-eng-common
ティーバック|1000170|jmdict-eng-common
Ｔバック|1000170|jmdict-eng-common
めいはく|1000220|jmdict-eng-common
明白|1000220|jmdict-eng-common
あこ|1000320|jmdict-eng-common
あしこ|1000320|jmdict-eng-common
あすこ|1000320|jmdict-eng-common
あそこ|1000320|jmdict-eng-common
かしこ|1000320|jmdict-eng-common
アソコ|1000320|jmdict-eng-common
彼処|1000320|jmdict-eng-common
彼所|1000320|jmdict-eng-common
あっさり|1000360|jmdict-eng-common
アッサリ|1000360|jmdict-eng-common
あっというまに|1000390|jmdict-eng-common
あっという間に|1000390|jmdict-eng-common
あっとゆう間に|1000390|jmdict-eng-common
あっと言う間に|1000390|jmdict-eng-common
アッという間に|1000390|jmdict-eng-common
アッとゆう間に|1000390|jmdict-eng-common
アッと言う間に|1000390|jmdict-eng-common
あの|1000420|jmdict-eng-common
あん|1000420|jmdict-eng-common
彼の|1000420|jmdict-eng-common
あの|1000430|jmdict-eng-common
あのう|1000430|jmdict-eng-common
あのー|1000430|jmdict-eng-common
あのひと|1000440|jmdict-eng-common
あの人|1000440|jmdict-eng-common
彼の人|1000440|jmdict-eng-common
あのかた|1000450|jmdict-eng-common
あの方|1000450|jmdict-eng-common
彼の方|1000450|jmdict-eng-common
あべこべ|1000470|jmdict-eng-common
あやふや|1000510|jmdict-eng-common
あら|1000520|jmdict-eng-common
あらー|1000520|jmdict-eng-common
あれ|1000580|jmdict-eng-common
アレ|1000580|jmdict-eng-common
彼|1000580|jmdict-eng-common
彼れ|1000580|jmdict-eng-common
あんな|1000590|jmdict-eng-common
いえいえ|1000620|jmdict-eng-common
いやいや|1000620|jmdict-eng-common
否々|1000620|jmdict-eng-common
否否|1000620|jmdict-eng-common
いかにも|1000660|jmdict-eng-common
如何にも|1000660|jmdict-eng-common
いけない|1000730|jmdict-eng-common
行けない|1000730|jmdict-eng-common
いざこざ|1000760|jmdict-eng-common
イザコザ|1000760|jmdict-eng-common
いそいそ|1000820|jmdict-eng-common
イソイソ|1000820|jmdict-eng-common
いらしゃい|1000920|jmdict-eng-common
いらっしゃい|1000920|jmdict-eng-common
いらしゃいませ|1000930|jmdict-eng-common
いらっしゃいませ|1000930|jmdict-eng-common
いらっしゃる|1000940|jmdict-eng-common
居らっしゃる|1000940|jmdict-eng-common
うずうず|1000980|jmdict-eng-common
ウズウズ|1000980|jmdict-eng-common
うっかり|1001010|jmdict-eng-common
ウッカリ|1001010|jmdict-eng-common
うとうと|1001030|jmdict-eng-common
うとっと|1001030|jmdict-eng-common
ウトっと|1001030|jmdict-eng-common
ウトウト|1001030|jmdict-eng-common
ウトッと|1001030|jmdict-eng-common
うねり|1001050|jmdict-eng-common
畝り|1001050|jmdict-eng-common
うろうろ|1001060|jmdict-eng-common
ウロウロ|1001060|jmdict-eng-common
ううむ|1001090|jmdict-eng-common
うむ|1001090|jmdict-eng-common
うん|1001090|jmdict-eng-common
うんこ|1001100|jmdict-eng-common
ウンコ|1001100|jmdict-eng-common
うんざり|1001110|jmdict-eng-common
ウンザリ|1001110|jmdict-eng-common
うんち|1001120|jmdict-eng-common
ウンチ|1001120|jmdict-eng-common
ええ|1001140|jmdict-eng-common
えー|1001140|jmdict-eng-common
えーっ|1001140|jmdict-eng-common
えーー|1001140|jmdict-eng-common
ええっと|1001150|jmdict-eng-common
ええと|1001150|jmdict-eng-common
えっと|1001150|jmdict-eng-common
えーっと|1001150|jmdict-eng-common
えーと|1001150|jmdict-eng-common
えーーっと|1001150|jmdict-eng-common
えーーーっと|1001150|jmdict-eng-common
えーーーーっと|1001150|jmdict-eng-common
おい|1001200|jmdict-eng-common
オイ|1001200|jmdict-eng-common
おしっこ|1001260|jmdict-eng-common
オシッコ|1001260|jmdict-eng-common
おっさん|1001350|jmdict-eng-common
オッサン|1001350|jmdict-eng-common
おっぱい|1001370|jmdict-eng-common
オッパイ|1001370|jmdict-eng-common
おでん|1001390|jmdict-eng-common
お田|1001390|jmdict-eng-common
御田|1001390|jmdict-eng-common
おどおど|1001400|jmdict-eng-common
オドオド|1001400|jmdict-eng-common
おなら|1001420|jmdict-eng-common
オナラ|1001420|jmdict-eng-common
おまけに|1001480|jmdict-eng-common
お負けに|1001480|jmdict-eng-common
御負けに|1001480|jmdict-eng-common
おめでとうございます|1001540|jmdict-eng-common
おめでとう御座います|1001540|jmdict-eng-common
お目出度うございます|1001540|jmdict-eng-common
御目出度う御座います|1001540|jmdict-eng-common
おや|1001560|jmdict-eng-common
おろおろ|1001580|jmdict-eng-common
オロオロ|1001580|jmdict-eng-common
おにぎり|1001620|jmdict-eng-common
お握り|1001620|jmdict-eng-common
御握り|1001620|jmdict-eng-common
おばけ|1001670|jmdict-eng-common
お化け|1001670|jmdict-eng-common
オバケ|1001670|jmdict-eng-common
御化け|1001670|jmdict-eng-common
おかし|1001710|jmdict-eng-common
お菓子|1001710|jmdict-eng-common
御菓子|1001710|jmdict-eng-common
おねがいします|1001720|jmdict-eng-common
お願いしまあす|1001720|jmdict-eng-common
