0;ja
3635;寒いね。
4008;100万円ぐらいかかります。
4030;１０年ぐらい、経済を研究しています。
4035;１０時に会社に着きます。
4051;１２時に昼御飯を食べます。
4058;１２月になってから、暖房をつけなくてはいけない。
4066;14歳ぐらいから、私は仕事をした。
4162;１時間友達を待ちました。
4164;１月は雨が少ないです。
4170;１週間に１回、選択します。
4171;１週間に３回コンビニへ行きます。
4213;２、３日会社を休みます。
4246;２時から始まります。
4272;３０分ぐらい休みましょう。
4372;「５００メートルぐらいあるきます。」
4414;６時にパーティーを始めます。
4420;６月は雨が多いです。
4434;７時に朝ご飯を食べます。
4436;７時までです。
4441;７月に富士山に登ります。
4451;８０歳です。年を取りました。
4453;８時４０分ごろ学校へ行きます。
4456;８時にうちを出ます。
4460;８時まで、テレビを見る。
4468;８番線で急行に乗ります。
4475;「９万円です。」
4483;ⓐ「１週間に何回行きますか。」<br>ⓑ「２回行きます。」
4484;ⓐ「ATMの使い方がわかりません。」<br>ⓑ「お引き出しですか。」<br>ⓐ「はい。」<br>ⓑ「では、こちらへどうぞ。」
4486;ATMでお金を下ろします。
4490;ⓐ「あのー、郵便局はどこですか。」<br>ⓑ「えーっと、あそこですよ。でも、今日は休みですよ。」<br>ⓐ「どうしてですか。」<br>ⓑ「土曜日ですから。」<br>ⓐ「そうですか。分かりました。ありがとうごさいます。」
4491;ⓐ「あの人は誰ですか。」<br>ⓑ「ホアンさんですよ。」
4496;ⓐ「いつ、国へ帰りますか。」<br>ⓑ「来年、帰ります。」
4497;ⓐ「おはようございます。いいお天気ですね。」<br>ⓑ「そうですね。」
4498;ⓐ「お世話になりました。」<br>ⓑ「いいえ、こちらこそ。」
4499;ⓐ「(お)仕事は？」<br>ⓑ「教師です。」
4501;ⓐ「お名前は？」<br>ⓑ「トムです。」
4502;ⓐ「お国はどちらですか。」<br>ⓑ「ケニアです。」
4505;ⓐ「お誕生日おめでとうございます。」<br>ⓑ「ありがとうございます。」
4506;ⓐ「クラシックとジャズとどちらが好きですか。」<br>ⓑ「どちらも好きです。」
4507;ⓐ「コーヒーと紅茶とどちらがいいですか。」<br>ⓑ「紅茶がいいです。」
4508;ⓐ「このカメラは５００,０００円です。」<br>ⓑ「えっ？」
4511;ⓐ「これでお願いします。」<br>ⓑ「はい。」
